Knoten,Vektoren,Arrays
8340,2106.0,2106.0
6255,1574.0,1574.0
1518,483.52,481.64
1716,547.8,547.2
1885,597.28,599.6
4312,1398.64,1396.4
3910,1272.76,1271.64
3053,984.84,984.04
4464,1443.44,1446.04
5837,1911.12,1909.96
4396,1419.48,1420.88
8526,2794.08,2795.16
7241,2348.0,2351.08
3570,311.56,311.52
4105,1341.4,1340.72
3082,934.08,936.12
1594,493.64,492.76
8980,174.68,174.52
5376,1677.12,1676.96
2671,817.36,817.04
4090,1307.08,1305.64
5874,1906.4,1903.12
3477,1086.16,1085.72
2692,835.76,835.08
5516,1771.48,1772.32
4271,1299.44,1298.76
9464,2975.24,2976.64
6554,135.96,135.96
5581,1772.96,1772.8
3861,1206.52,1205.92
8511,173.0,173.08
8145,172.12,172.12
4192,1329.6,1329.24
3760,1170.12,1168.92
4534,1355.6,1357.72
2764,870.6,869.24
6453,2047.84,2049.44
9568,192.92,192.96
4416,1328.24,1328.08
4032,1274.28,1274.16
7511,156.8,156.6
